epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6695.66,0.93693,1.6702,0.66624,1.05829,0,0.9167,0.85667,0.91575,0.7089,0.91992,0.84716,0.9055,0.59689,0.83749,1.38858,0.53832,0.96545,0,0.000775822,0.000775822,0.000775822
29,6933.17,0.92294,1.64171,0.65279,1.0542,0,0.92079,0.85773,0.91927,0.71644,0.91916,0.84912,0.9096,0.59892,0.82457,1.37722,0.52144,0.96058,0,0.000742815,0.000742815,0.000742815
30,7170.82,0.91472,1.63107,0.64362,1.05003,0,0.92188,0.86789,0.92143,0.71705,0.91905,0.85735,0.91095,0.60109,0.82523,1.36627,0.51237,0.96015,0,0.000709809,0.000709809,0.000709809
31,7408.46,0.91012,1.62679,0.63708,1.04759,0,0.92485,0.86337,0.92287,0.7226,0.91875,0.85709,0.91162,0.60299,0.81111,1.34681,0.50278,0.95106,0,0.000676802,0.000676802,0.000676802
32,7646.33,0.90417,1.60695,0.62291,1.0417,0,0.92476,0.86657,0.92417,0.72562,0.92243,0.85681,0.91314,0.60472,0.80394,1.34859,0.4992,0.94515,0,0.000643795,0.000643795,0.000643795
33,7883.75,0.89623,1.5902,0.61875,1.04086,0,0.92838,0.86906,0.92642,0.72987,0.92899,0.86049,0.91772,0.61123,0.80113,1.33089,0.49063,0.94098,0,0.000610789,0.000610789,0.000610789
34,8123.25,0.88682,1.5843,0.61545,1.03513,0,0.92365,0.87798,0.92815,0.73326,0.91947,0.87283,0.91942,0.61388,0.79288,1.32017,0.48323,0.93782,0,0.000577782,0.000577782,0.000577782
35,8359.32,0.88028,1.56066,0.59671,1.02923,0,0.93203,0.87671,0.92977,0.73897,0.93105,0.86951,0.92146,0.61984,0.77728,1.30636,0.47135,0.93052,0,0.000544776,0.000544776,0.000544776
36,8595.56,0.86396,1.54762,0.58782,1.02404,0,0.93411,0.87848,0.93161,0.74315,0.93381,0.8717,0.92371,0.6218,0.76968,1.29423,0.46392,0.92819,0,0.000511769,0.000511769,0.000511769
37,8831.67,0.86784,1.53766,0.58482,1.0251,0,0.93188,0.87848,0.93219,0.74371,0.93042,0.87368,0.9245,0.62319,0.76643,1.28787,0.46298,0.92697,0,0.000478762,0.000478762,0.000478762
